Student_id,Age,Program,Semester,GPA,Attendance,Assignments_completion,Stress_level,Sleep_hours,Mental_wellbeing,Productivity_score,Distractions,Carreer_clarity,Skill_readiness,Engagement_score,APS,WWS,PTMS,CRS,SRI,Category
S210,20,BCA,5,7.16,65,50,7,5,4,6,7,4,6,68,65.3,42.75,41.4,50.0,50.99,Yellow
S211,21,MBA,3,8.05,88,79,4,7,7,7,2,8,7,62,82.45,71.25,61.599999999999994,75.0,73.13499999999999,Blue
S212,22,BBA,5,6.25,62,55,8,4,2,4,8,2,3,75,60.849999999999994,29.0,26.5,25.0,36.93,Red
S213,19,BSC,2,5.01,53,33,2,7,8,8,5,7,7,81,47.550000000000004,82.25,65.3,70.0,64.53999999999999,Yellow
S214,23,BA,4,6.35,60,22,6,5,9,9,5,4,5,60,54.15,61.75,66.0,45.0,56.345,Yellow
S215,24,MA,5,9.16,89,77,7,9,6,6,9,8,9,86,87.9,60.0,40.8,85.0,69.82000000000001,Yellow
S216,22,B.TECH,3,7.11,76,56,8,4,5,4,7,2,7,55,69.55000000000001,38.0,23.5,45.0,45.59,Red
S217,24,MBA,4,8.93,75,89,8,6,7,3,5,6,5,80,84.95,51.5,30.0,55.0,57.035,Yellow
S218,21,BCA,6,8.72,91,78,9,8,6,8,9,7,9,60,86.5,52.0,47.0,80.0,68.1,Yellow
S219,24,MCA,4,7.95,64,91,4,9,5,6,4,4,4,30,77.15,69.0,39.0,40.0,56.695,Yellow
S220,20,B.COM,3,6.93,53,45,8,5,7,5,6,8,6,40,59.55,47.75,29.0,70.0,52.165,Yellow
S221,22,D.Pharma,5,8.0,33,75,6,4,7,2,8,9,8,67,64.9,52.0,10.099999999999994,85.0,53.645,Yellow
S222,23,MA,3,7.0,45,94,7,6,4,8,9,4,9,55,67.3,46.5,45.5,65.0,57.114999999999995,Yellow
S223,20,BBA,3,5.0,67,44,8,7,8,7,5,6,5,67,53.89999999999999,58.25,54.099999999999994,55.0,55.095,Yellow
S224,19,B.SC,4,6.22,88,58,6,8,6,5,7,7,8,70,69.1,64.0,35.0,75.0,61.03,Yellow
S225,25,MBA,4,7.32,76,59,7,8,9,9,8,3,5,90,71.2,69.0,66.0,40.0,61.66,Yellow
S226,24,M.SC,5,7.55,65,60,8,6,6,7,4,7,9,76,69.25,48.5,59.8,80.0,65.425,Yellow
S227,23,LLB,6,7.04,65,71,5,6,4,5,7,5,7,76,68.89999999999999,54.5,36.8,60.0,55.769999999999996,Yellow
S228,22,BHM,2,8.7,78,91,6,7,3,9,4,9,5,54,85.1,51.25,67.19999999999999,70.0,70.08,Blue
S229,23,MBBS,8,8.09,75,55,5,6,8,4,8,7,9,66,73.94999999999999,66.5,23.799999999999997,80.0,61.435,Yellow
S230,20,B.TECH,4,8.55,94,67,7,8,6,6,2,5,4,78,84.35000000000001,60.0,59.400000000000006,45.0,63.40500000000001,Yellow
S231,21,MBA,5,7.45,44,77,8,7,5,8,6,9,6,98,65.85000000000001,49.25,67.4,75.0,65.20500000000001,Yellow
S232,22,B.SC IT,3,6.34,58,83,8,8,4,9,7,4,8,45,65.69999999999999,50.0,55.5,60.0,58.584999999999994,Yellow
S233,19,B.SC Agriculture ,5,7.0,59,59,7,8,7,6,4,6,9,45,64.5,63.0,43.5,75.0,61.575,Yellow
S234,23,BCA,2,7.16,60,63,6,7,9,4,8,8,5,73,66.4,69.25,25.9,65.0,56.495000000000005,Yellow
S235,24,MBA,4,8.05,71,78,8,6,5,3,9,9,7,64,77.15,45.5,13.200000000000003,80.0,55.545,Yellow
S236,22,BBA,5,6.25,91,58,7,7,9,8,4,5,4,76,70.15,65.25,66.8,45.0,62.045,Yellow
S237,24,BSC,3,5.01,55,49,5,6,6,6,6,8,8,78,51.349999999999994,60.5,47.400000000000006,80.0,59.355000000000004,Yellow
S238,21,BA,4,6.35,67,76,4,4,5,5,7,5,2,67,67.05,54.0,34.099999999999994,35.0,48.19,Red
S239,24, MA English ,6,9.16,77,75,9,8,7,4,3,9,6,80,83.9,55.0,43.0,75.0,65.67,Yellow
S240,20,B.TECH,4,7.11,83,78,6,5,7,7,7,7,7,60,76.05000000000001,55.75,46.0,70.0,62.965,Yellow
S241,22,MBA,3,8.93,59,44,7,9,5,9,5,5,8,40,71.14999999999999,57.0,60.0,65.0,63.995,Yellow
S242,23,BCA,5,8.72,63,67,6,7,4,5,9,9,8,30,75.9,54.25,17.0,85.0,59.120000000000005,Yellow
S243,20,MCA,4,7.95,78,78,6,5,9,6,7,4,9,79,78.75,61.75,44.7,65.0,63.400000000000006,Yellow
S244,19,B.COM Aviation ,2,6.93,58,89,5,9,6,8,5,6,4,50,69.85,68.0,56.0,50.0,61.055,Yellow
S245,25,B.J.M.C ,1,7.35,56,56,4,4,7,6,9,8,8,40,64.75,60.0,27.0,80.0,58.175,Yellow
